iso3c,country,year,rank,score,incidents,fatalities,injuries,hostages
ARG,Argentina,2011,60,1.962,2,0,0,0
ARG,Argentina,2012,63,1.627,2,0,0,0
ARG,Argentina,2013,66,1.39,2,0,0,0
ARG,Argentina,2014,75,0.888,0,0,0,0
ARG,Argentina,2015,95,0.368,0,0,0,0
ARG,Argentina,2016,87,0.536,1,0,0,0
ARG,Argentina,2017,61,1.933,9,0,3,0
ARG,Argentina,2018,60,2.225,10,0,0,0
ARG,Argentina,2019,64,1.82,2,0,0,0
ARG,Argentina,2020,67,1.259,0,0,0,0
ARG,Argentina,2021,58,1.579,5,0,0,0
ARG,Argentina,2022,58,1.868,6,0,2,0
ARG,Argentina,2023,63,1.274,0,0,0,0
ARG,Argentina,2024,77,0.801,0,0,0,0
ARG,Argentina,2025,79,0.455,0,0,0,0
BOL,Bolivia,2011,88,0.539,0,0,0,0
BOL,Bolivia,2012,94,0.265,0,0,0,0
BOL,Bolivia,2013,97,0.128,0,0,0,0
BOL,Bolivia,2014,110,0,0,0,0,0
BOL,Bolivia,2015,107,0,0,0,0,0
BOL,Bolivia,2016,106,0,0,0,0,0
BOL,Bolivia,2017,107,0,0,0,0,0
BOL,Bolivia,2018,108,0,0,0,0,0
BOL,Bolivia,2019,110,0,0,0,0,0
BOL,Bolivia,2020,103,0,0,0,0,0
BOL,Bolivia,2021,95,0,0,0,0,0
BOL,Bolivia,2022,93,0,0,0,0,0
BOL,Bolivia,2023,94,0,0,0,0,0
BOL,Bolivia,2024,101,0,0,0,0,0
BOL,Bolivia,2025,100,0,0,0,0,0
BRA,Brazil,2011,92,0.423,0,0,0,0
BRA,Brazil,2012,97,0.233,0,0,0,0
BRA,Brazil,2013,101,0.114,0,0,0,0
BRA,Brazil,2014,100,0.059,0,0,0,0
BRA,Brazil,2015,83,0.72,2,0,0,0
BRA,Brazil,2016,79,0.72,1,0,0,0
BRA,Brazil,2017,89,0.423,0,0,0,0
BRA,Brazil,2018,87,0.577,1,0,0,0
BRA,Brazil,2019,51,2.92,3,8,10,0
BRA,Brazil,2020,52,2.271,0,0,0,0
BRA,Brazil,2021,55,1.669,0,0,0,0
BRA,Brazil,2022,47,2.617,2,4,12,0
BRA,Brazil,2023,51,1.988,0,0,0,0
BRA,Brazil,2024,61,1.43,1,0,0,0
BRA,Brazil,2025,62,0.909,0,0,0,0
CHL,Chile,2011,58,2.1,6,0,1,0
CHL,Chile,2012,64,1.615,1,0,0,0
CHL,Chile,2013,56,2.043,3,2,0,0
CHL,Chile,2014,40,2.821,15,0,17,0
CHL,Chile,2015,47,2.719,12,0,0,0
CHL,Chile,2016,51,3.036,23,0,2,0
CHL,Chile,2017,46,3.477,37,0,6,0
CHL,Chile,2018,35,4.158,81,1,7,0
CHL,Chile,2019,29,4.576,103,1,27,0
CHL,Chile,2020,23,5.16,198,6,26,0
CHL,Chile,2021,18,5.798,388,1,98,1
CHL,Chile,2022,16,5.937,337,9,51,0
CHL,Chile,2023,17,5.699,187,0,33,0
CHL,Chile,2024,22,5.168,55,0,2,0
CHL,Chile,2025,27,4.553,22,0,3,0
COL,Colombia,2011,11,6.647,162,161,346,36
COL,Colombia,2012,12,6.786,119,181,484,21
COL,Colombia,2013,10,6.776,217,140,291,19
COL,Colombia,2014,12,6.479,112,59,232,14
COL,Colombia,2015,15,6.448,190,103,158,7
COL,Colombia,2016,17,6.118,104,44,81,13
COL,Colombia,2017,16,6.024,95,57,200,4
COL,Colombia,2018,14,6.402,233,131,185,49
COL,Colombia,2019,12,6.75,342,154,374,32
COL,Colombia,2020,13,6.697,184,156,89,27
COL,Colombia,2021,14,6.434,75,78,195,7
COL,Colombia,2022,15,6.032,51,33,118,7
COL,Colombia,2023,16,6.235,184,93,135,86
COL,Colombia,2024,14,6.588,301,125,316,93
COL,Colombia,2025,9,7.116,442,213,722,272
CRI,Costa Rica,2011,114,0,0,0,0,0
CRI,Costa Rica,2012,113,0,0,0,0,0
CRI,Costa Rica,2013,111,0,0,0,0,0
CRI,Costa Rica,2014,110,0,0,0,0,0
CRI,Costa Rica,2015,107,0,0,0,0,0
CRI,Costa Rica,2016,106,0,0,0,0,0
CRI,Costa Rica,2017,107,0,0,0,0,0
CRI,Costa Rica,2018,108,0,0,0,0,0
CRI,Costa Rica,2019,110,0,0,0,0,0
CRI,Costa Rica,2020,103,0,0,0,0,0
CRI,Costa Rica,2021,95,0,0,0,0,0
CRI,Costa Rica,2022,93,0,0,0,0,0
CRI,Costa Rica,2023,94,0,0,0,0,0
CRI,Costa Rica,2024,101,0,0,0,0,0
CRI,Costa Rica,2025,100,0,0,0,0,0
CUB,Cuba,2011,114,0,0,0,0,0
CUB,Cuba,2012,113,0,0,0,0,0
CUB,Cuba,2013,111,0,0,0,0,0
CUB,Cuba,2014,110,0,0,0,0,0
CUB,Cuba,2015,107,0,0,0,0,0
CUB,Cuba,2016,106,0,0,0,0,0
CUB,Cuba,2017,107,0,0,0,0,0
